covariate,coef,hazard_ratio,hr_low,hr_high,p
log_claim,-0.32882936059956847,0.7197658266777863,0.6961586728483117,0.7441735131066011,3.2381333340658432e-83
num_interlocutory_motions,-0.15356307583379628,0.8576466657141497,0.8382624281713267,0.877479150312416,1.3847943763284035e-39
summary_judgment_filed,0.07293142407874086,1.075656770231446,1.008278407867473,1.1475377022026099,0.02712181127787836
case_complexity_Medium,-1.1168698046479384,0.3273027142535524,0.30330395165481533,0.3532003660791796,1.0102256040566175e-181
case_complexity_High,-2.0650459589032653,0.12681246227237866,0.11240033857151349,0.14307252800089962,9.349823644417988e-247
court_venue_High Court — Chancery Division,-0.7600373815765304,0.46764894522832756,0.40924978510651694,0.534381553593844,5.887037510912686e-29
court_venue_High Court — KBD (TCC),-0.9466265791820041,0.3880478667009831,0.33684508623980947,0.4470338235659493,2.8284465439389652e-39
court_venue_London Commercial Court,-0.40999935015354033,0.663650681407225,0.5857139873303836,0.7519578436904215,1.2546796777871564e-10
court_venue_Singapore International Comm.,0.09959144008607616,1.104719481766157,0.9557227421689535,1.2769447451088722,0.1778828797383023
court_venue_US District Court — N.D. Cal.,-0.22932516415516704,0.7950699632155896,0.6888774358206876,0.9176323879073636,0.0017179564055112074
court_venue_US District Court — S.D.N.Y.,-0.08778353788893126,0.9159591257118586,0.8017270705263245,1.046467246545699,0.196477680354547
